,x,r,Mach Number,Stagnation Temperature (K),Stagnation Pressure (kPa),Static Temperature (K),Heat Transfer Coefficient,Heat Flux (kW/m2),Viscosity (Pa s),Thermal Conductivity (W/m K),Density (kg/m3),Velocity (m/s),Reynold's Number,Skin Friction Coefficient
398,8.68630686805627,1.0739368252983688,1.7825168463502308,3398.777537103703,2017.7572232418936,3359.7389693569535,44778.053098300916,138843.51653093225,6.746518056220243e-05,0.16605493082211975,0.01771618085716607,342.40908399783183,19838.295951596636,0.007960156577309576
399,8.708131759684552,1.0797847873850632,1.7909792393722335,3398.7729403287053,2016.7152287052431,3359.3863526994814,44347.582540656804,137506.18549464893,6.754423370857937e-05,0.16633608219697868,0.017714321480395496,344.01659650925467,19956.02918690127,0.00795074193439878
400,8.729956651312834,1.0856327494717588,1.799318689150004,3398.768362930363,2015.6710118088147,3359.037222899401,43923.23182711848,136187.90016967547,6.762243591203787e-05,0.16661428013061474,0.017712480490112342,345.60050276785483,20072.826356648242,0.007941467773813018
401,8.751781542941115,1.0914807115584537,1.8075391017961946,3398.76380475453,2014.6247022501009,3358.6914893301478,43504.889783598665,134888.313697495,6.769981018711505e-05,0.1668896037444313,0.017710657408435224,347.16155450034705,20188.7218695784,0.00793232899610594
402,8.773606434569398,1.097328673645149,1.815644180875618,3398.7592656484617,2013.576424961269,3358.3490656958056,43092.4474506915,133607.08617224253,6.777637842356922e-05,0.16716212829239668,0.017708851780318623,348.7004644475463,20303.748246628966,0.0079233207896174
403,8.795431326197681,1.1031766357318444,1.8236374420776427,3398.754745460823,2012.5263003323532,3358.0098697273907,42685.79805623426,132343.88455088914,6.785216146676621e-05,0.16743192543807822,0.01770706317195137,350.2179091878337,20417.93626083836,0.007914438608698025
404,8.817256217825962,1.10902459781854,1.8315222265339028,3398.7502440416965,2011.474444420276,3357.6738229066673,42284.83698537913,131098.38255606918,6.79271791906378e-05,0.16769906350603012,0.017705291169300294,351.71453169998375,20531.315064199825,0.007905678153990405
405,8.839081109454245,1.1148725599052358,1.8393017129320566,3398.745761242589,2010.4209691448762,3357.340850214487,41889.46174864681,129870.26057297579,6.800145056404259e-05,0.16796360771040614,0.017703535376783222,353.1909436943533,20643.91230292355,0.007897035354535138
406,8.860906001082526,1.1207205219919314,1.846978928556831,3398.7412969164334,2009.365982473004,3357.01087990101,41499.57194836411,128659.20554154091,6.807499371125023e-05,0.16822562036328967,0.0177017954160573,354.6477277376773,20755.754222378673,0.007888506351500126
407,8.882730892710809,1.1265684840786272,1.8545567593729622,3398.736850917589,2008.3095885916348,3356.683843275512,41115.06924383078,127464.91084494101,6.814782596718043e-05,0.16848516106491948,0.017700070924910646,356.085439193521,20866.86576282383,0.007880087483357289
